,GELID,lat,lon,dep,e,n,z,azi1,dip1,sig1,azi2,dip2,sig2,azi3,dip3,sig3,NP,NS,CLID,LT,ML,SEDID,DateTime,Mw
107,Main01671,47.58648,7.59235,4412,-98.8,43.0,58.0,3.1,5.6,13.2,114.2,-11.0,17.8,266.4,-77.6,25.2,83,70,CL008,DD,,------,2006-12-04 11:41:08,1.1
108,Main01680,47.58655,7.592510000000001,4360,-86.8,50.9,6.0,55.6,2.0,3.0,326.3,-19.9,6.9,139.9,-70.0,9.5,5,5,CL002,DG,,------,2006-12-04 12:12:19,0.7
109,Main01687,47.58615,7.5933600000000006,4111,-22.7,6.5,-243.0,38.3,1.4,3.0,308.3,2.4,4.3,339.7,-87.2,8.1,4,4,CL178,DG,,------,2006-12-04 12:23:32,0.6
110,Main01693,47.58535,7.59353,4462,-9.8,-82.4,108.0,56.6,-5.9,2.8,330.5,33.3,4.6,317.7,-56.0,5.8,6,6,CL013,DG,,------,2006-12-04 12:34:01,0.8
111,Main01694,47.585640000000005,7.59373,4458,5.2,-50.1,104.0,13.6,11.7,12.7,103.4,-0.9,19.8,9.3,-78.3,20.9,61,39,CL007a,DD,1.4,SED010,2006-12-04 12:35:40,1.6
112,Main01696,47.585840000000005,7.59463,4264,72.9,-27.8,-90.0,57.6,1.2,36.9,328.6,-40.5,46.4,146.2,-49.5,60.5,77,61,---,DD,1.4,SED011,2006-12-04 12:35:59,1.7
113,Main01699,47.58632,7.59237,4342,-97.3,25.3,-12.0,231.9,6.4,2.7,322.9,8.8,3.8,286.6,-79.1,5.1,6,6,CL073,DG,,------,2006-12-04 12:37:18,1.1
114,Main01713,47.5851,7.593789999999999,4381,9.8,-110.2,27.0,97.2,-11.9,12.6,111.8,20.7,19.5,79.3,-65.8,32.5,48,64,CL053,DD,,------,2006-12-04 13:21:10,1.1
115,Main01715,47.58514,7.5944,4116,55.7,-105.6,-238.0,52.2,-2.6,3.1,322.7,11.6,4.5,309.8,-78.2,6.8,5,5,CL021,DG,,------,2006-12-04 13:23:13,0.7
116,Main01720,47.586209999999994,7.59393,4277,20.1,13.3,-77.0,54.3,-9.6,2.7,327.4,17.8,4.0,297.1,-69.6,7.3,6,6,CL147,DG,,------,2006-12-04 13:48:37,0.8
117,Main01721,47.58517,7.59439,4142,54.9,-102.3,-212.0,49.2,-0.5,3.0,319.4,17.1,4.4,317.5,-72.9,6.9,6,6,CL021,DG,,------,2006-12-04 13:53:10,0.7
118,Main01731,47.58728,7.5918399999999995,4393,137.3,131.9,39.0,44.9,-1.0,2.9,315.0,9.2,4.3,309.0,-80.7,6.1,5,6,CL078,DG,,------,2006-12-04 14:07:42,0.8
119,Main01755,47.58804,7.59272,4229,-71.3,216.6,-125.0,94.8,40.8,23.0,256.2,-29.0,36.9,142.9,-35.5,56.6,20,27,CL197,DD,,------,2006-12-04 15:26:18,0.7
120,Main01759,47.58648,7.59237,4422,-97.3,43.1,68.0,50.1,-13.8,2.7,142.0,-7.7,4.1,260.5,-74.1,6.0,5,6,CL008,DG,,------,2006-12-04 15:36:03,1.0
121,Main01763,47.58662,7.59244,4357,-92.1,58.6,3.0,64.5,-3.2,3.0,331.5,-43.1,7.2,157.9,-46.8,9.7,4,4,CL002,DG,,------,2006-12-04 15:43:59,0.6
122,Main01774,47.58576,7.593939999999999,4277,21.0,-36.8,-77.0,61.3,-7.9,2.8,150.2,8.0,5.0,195.2,-78.7,6.4,6,6,CL140,DG,,------,2006-12-04 16:09:03,0.9
123,Main01779,47.58534,7.59355,4465,-8.3,-83.5,111.0,56.2,-5.6,2.9,329.0,26.8,4.6,315.3,-62.5,5.6,6,6,CL013,DG,,------,2006-12-04 16:27:45,0.8
124,Main01781,47.5855,7.594130000000001,4492,35.3,-65.7,138.0,49.9,-6.7,2.8,323.0,24.5,4.4,305.8,-64.5,6.6,4,5,CL029,DG,,------,2006-12-04 16:33:10,0.6
125,Main01799,47.58595,7.5933399999999995,4395,-24.2,-15.7,41.0,239.5,6.5,2.8,330.4,8.0,4.0,290.8,-79.7,5.3,6,6,CL005,DG,,------,2006-12-04 18:05:48,1.0
